Var1,NewID
M01_CN_A1_C02,3128918
M01_CN_A2_C05,8155013
M01_CN_A3_C09,2492102
M01_CN_A4_C10,6193639
M01_CN_A4_C12,2897488
M01_CN_A5_C13,6219221
M01_CN_A5_C14,2081506
M01_CN_A5_C15,4048863
M01_JS_A2_C03,4007447
M01_JS_A2_C05,2224007
M01_JS_A3_C06,4923180
M01_JS_A3_C07,6850624
M01_JS_A4_C11,1860444
M01_JS_A5_C12,4100526
M01_JS_B1_C14,4872470
M01_JS_B1_C15,9266875
M01_JS_B2_C17,3603737
M01_JS_B2_C18,5041360
M01_JS_B3_C21,6160507
M01_MW_D1_C01,3717930
M01_MW_D1_C02,1812154
M01_MW_D2_C03,3871442
M01_MW_D2_C05,2691804
M01_MW_D3_C07,4594545
M01_MW_D4_C10,9914214
M01_MW_D4_C11,1964115
M01_MW_D5_C12,3168757
M01_MW_D5_C13,6573900
M01_MW_D5_C14,3315344
M01_SM_A1_C02,4717635
M01_SM_A1_C03,4461307
M01_SM_A2_C04,2507885
M01_SM_A2_C05,2164708
M01_SM_A3_C08,4757649
M01_SM_A3_C09,1893218
M01_SM_A4_C11,4983354
M01_SM_A5_C12,6353116
M01_SM_A6_C14,6353320
M01_SM_A7_C17,6047132
M01_SM_A7_C19,8440701
M02_JS_D1_C11,1471317
M02_JS_D1_C12,1502987
M02_JS_D2_C09,3166185
M02_JS_D2_C10,4221355
M02_JS_D3_C07,7046620
M02_JS_D3_C08,4415715
M02_JS_D4_C05,3850320
M02_JS_D4_C06,6013473
M02_JS_D5_C03,7033088
M02_JS_D6_C01,3424140
M02_JS_D6_C02,3663241
M02_MW_D1_C02,1768221
M02_MW_D2_C04,9069954
M02_MW_D3_C06,9229701
M02_MW_D4_C08,4238448
M02_MW_D4_C09,4101021
M02_MW_D5_C10,3066519
M02_MW_D5_C11,5565833
M02_MW_D6_C12,5984515
M02_MW_D6_C13,5916043
M02_SM_A1_C03,6392431
M02_SM_A2_C04,1192200
M02_SM_A4_C07,6945823
M02_SM_A4_C08,4285879
M02_SM_A5_C10,6365774
M02_SM_A5_C12,3236796
