ID,specimen,struct,transline,reporterStatus,AIr,AItau,AIrheobase,pyramidalID,dendrite_type,cortical_layer,acquireRes,Resistence,resistance_hd,resistance_ss,Vrest,time_constant,time_constant2,subamp,submin,rebound_slope,rebound_depolarization,sag,steadystate,sag_ratio,Vrest_sag_sweep,nb_rebound_sp,rheobaseLP,rate_1sRheobase,rate_750msRheobase,rate_500msRheobase,rate_250msRheobase,rate_100msRheobase,rate_50msRheobase,delayRheobase,burstRheobase,latencyRheobase,cv_ISIRheobase,adaptation1Rheobase,adaptation2Rheobase,peak_adaptation1Rheobase,peak_adaptation2Rheobase,peakLP,thresholdLP,half_width_threshold_peak,half_width_peak_trough,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,trough,fastTrough,slowTrough,fAHPamp,wf,maxFiringRate,mdn_insta_freq,rate_1sHero,rate_750msHero,rate_500msHero,rate_250msHero,rate_100msHero,rate_50msHero,burst_hero,delay_hero,latency_hero,hero_amp,access_resistance,temperature,cellList
M01_JS_A4_C11,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NA,0,0.1,398.71,417.4426133,337.2012175,-74.5168429,24.74,228.72,-90,-113.6,0,2.78,7.9,-105.69,1.07,-71.41458587,0,50,6,8,12,16,20,20,0.74,39,43.8,0.35,0.06,1.66,0.98,0,25.56,-37.35,1.1,1.3,62.91,76.7,72.02,-52.95,-1.36,-51.14,3.7,3.7,NaN,0,41,NaN,24,24,26,32,40,40,20.85,0.489563959,20.6,70,0,0,
M01_JS_B1_C14,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NA,0,0.1,476.84,414.0720593,162.1639116,-62.0762884,41.73,70.55,-90,-110.2,-0.01,89.15,18.21,-91.99,1.2,-64.45996467,0,30,1,1.333333333,2,4,10,20,NaN,NaN,43.3,NaN,NaN,NaN,NaN,NaN,25.4,-44.52,1.3,1.4,69.92,83.87,77.87,-59.74,-1.3,-58.48,3.6,3.6,NaN,0,9,NaN,3,4,6,12,30,40,36.1,0.509695291,18.4,50,0,0,
M01_MW_D1_C02,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,
M01_MW_D2_C03,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,
M01_MW_D2_C05,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,
M01_MW_D4_C10,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,
M01_MW_D4_C11,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,
M01_MW_D5_C12,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,S,3,0.1,314.09,336.9163157,306.1641788,-78.39161462,51.16,280.4,-90,-106.54,0,3.87,2.76,-103.79,1.03,-75.75576241,0,130,1,1.333333333,2,4,10,20,NaN,NaN,42.4,NaN,NaN,NaN,NaN,NaN,17.47,-49.65,2.8,3,67.12,75.46,57.65,-25.27,-2.28,-58,5.1,17.6,NaN,0,1,NaN,1,1.333333333,2,4,10,20,NaN,NaN,23.6,190,0,0,
M01_MW_D5_C14,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,
M01_SM_A1_C03,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NA,0,0.1,314.94,386.6518897,264.863679,-67.46078952,18.87,95.36,-90,-105,0,3.92,10.8,-94.2,1.11,-66.7662808,0,110,1,1.333333333,2,4,10,20,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,8.36,-38.96,0.5,0.5,47.33,72.24,31.6,-66.69,-0.47,-63.87,1.2,1.2,24.91,0,167,NaN,138,137.3333333,138,136,130,120,8.15,0.385140562,2.8,170,0,0,
