X1,X2,labels,IDs,Var5
0.067284991,-0.509401929,spiny mouse,313860745,
0.203173998,5.813394655,PV/FS,313861411,
1.193920631,6.914369602,PV/FS,313861539,
-0.92192766,-2.804075976,spiny mouse,313861677,
-0.018394015,-3.428728952,spiny mouse,313861794,
-4.377649428,-0.99538709,spiny mouse,313861828,
0.539838231,-3.640369754,spiny mouse,313861934,
0.208873487,-2.578221093,spiny mouse,313862022,
0.836758215,3.09404604,PV/FS,313862134,
0.767631832,3.005590671,PV/FS,313862167,
0.862728508,1.847205444,SST/adap,313862274,
1.511850879,2.16012484,SST/adap,313862306,
-2.110084969,-2.09797489,spiny mouse,314529406,
-1.739247586,-1.891304296,spiny mouse,314617802,
-1.558633949,-1.810962279,spiny mouse,314642645,
-2.940477083,-3.952501778,spiny mouse,314800874,
0.580382252,-1.008437728,spiny mouse,314800921,
-0.613925987,-2.686372159,spiny mouse,314804042,
1.219720849,-2.846666357,spiny mouse,314822529,
-2.033438224,-3.323128376,spiny mouse,314831019,
2.777182353,-2.631971707,spiny mouse,314857059,
1.42420023,0.951765566,spiny mouse,314900022,
-0.016288963,5.695237586,PV/FS,318331264,
1.356483037,6.581208368,PV/FS,318522838,
-0.601116573,5.613234795,PV/FS,318553131,
0.952235742,5.916966365,PV/FS,318556138,
2.927860962,-2.48706651,spiny mouse,318733871,
-0.852919864,-1.058664667,spiny mouse,318808427,
1.256367591,-2.751772277,spiny mouse,320207387,
1.503214644,6.714452173,PV/FS,320247631,
1.267428024,7.601336849,PV/FS,320421014,
0.947382907,5.377051387,PV/FS,320455763,
0.891356933,5.601184826,PV/FS,320466776,
1.299267104,7.559371348,PV/FS,320466871,
1.617897779,-3.121774044,spiny mouse,320639930,
-2.035196325,-2.873482227,spiny mouse,320668841,
-0.857394599,-3.358503217,spiny mouse,320668879,
-1.71449083,-4.156567829,spiny mouse,320836481,
0.883355182,-2.312867849,spiny mouse,320880293,
-2.44494549,-3.890753824,spiny mouse,321013314,
