ID,Resistence,time_constant,streng_rectif,rebound_slope,nb_rebound_sp,sag,sag_ratio,rheobaseLP,burst,delay,latencyLP,meanISI,cv_ISI,adaptation1,adaptation2,peak_adaptation1,peak_adaptation2,peakLP,thresholdLP,half_width,height,fastTrough,slowTrough,nb_persistent,dur_persistence,firing_rate_2xRB,cvISIlast_2xRB,rheobase_3ms,latency,threshold,threshold2,peak,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,halfWidthTP,halfWidthPT,peakDown,trough,preview,link,Morphology
M01_CN_A5_C13,268.7072814,16.5,3.019287177,-0.000711979,0,3.019287177,1.034531864,30,415.9,0.067926946,15.9,234.075,1.607070564,-0.200995806,0.080325815,0.880126593,-0.007570003,22.99804739,-47.39379989,0.6,70.39184728,1.8,1.8,0,0,49,0.04408501,,0,,,,,,,,,,,,,,,
M01_CN_A5_C14,318.4814524,18.65,13.58813507,-0.003142256,0,13.58813507,1.141075946,110,,,11,,,,,,,8.361816593,-34.82055742,0.3,43.18237401,1.2,1.2,0,0,164,0.036285075,,0,,,,,,,,,,,,,,,
M01_JS_A4_C11,397.2778409,20.53333333,20.46350143,-0.007581836,0,20.46350143,1.203686941,50,39.05,0.754716981,44.8,59.36,0.346303579,0.057722226,1.656716418,0.969817711,-0.005689448,25.55542049,-35.71777424,1,61.27319473,3.7,3.7,0,0,33,0.210281539,280,3.45,-43.79272559,-43.79272559,34.25293045,78.04565604,96.41723848,291.6259831,-92.77343957,-3.143421053,0.8,0.95,-92.77343957,-62.16430803,,,
M01_JS_B1_C14,475.8300888,34.01666667,20.80029343,-0.010381237,0,20.80029343,1.215335699,30,,,44.3,,,,,,,25.39672908,-43.12133885,1.1,68.51806794,3.6,3.6,0,0,4,0.207478146,220,3.85,-46.48437604,-46.48437604,25.8300787,72.31445474,87.902834,141.4794953,-69.21386873,-2.044091711,1.1,1.35,-69.21386873,-62.07275529,,,
M01_MW_D5_C12,306.5185615,34.28333333,3.86450204,0.002242945,0,3.86450204,1.035699465,90,,,104.4,,,,,,,19.01855511,-45.67260844,2.8,64.69116356,5.1,16.5,0,0,2,0,300,3.75,-45.47729594,-45.47729594,13.91601594,59.39331187,82.53174013,143.3105501,-52.1240246,-2.74941452,1.3,1.65,-52.1240246,-68.61572419,,,
M01_SM_A1_C02,310.6079171,18.33333333,7.04406754,-0.001683996,0,7.04406754,1.076618712,170,,,9.1,,,,,,,14.11132844,-33.8073738,0.4,47.91870224,1,1,0,0,,,140,3.05,-33.99658279,-33.99658279,1.049804711,35.0463875,50.55542105,79.22363458,-73.24218914,-1.081666667,0.65,0.9,-73.24218914,-49.50561634,,,
M01_SM_A1_C03,318.4814524,20.18333333,13.58813507,-0.003142256,0,13.58813507,1.141075946,110,,,11,,,,,,,8.361816593,-34.82055742,0.3,43.18237401,1.2,1.2,0,0,164,0.036285075,180,3.25,-44.42138771,-44.42138771,16.070557,60.49194471,82.61718935,390.5029384,-275.1464905,-1.419254658,0.3,0.35,-275.1464905,-66.54663235,,,
M01_SM_A3_C09,246.2158258,15.35,4.889892687,-0.001365819,0,4.889892687,1.056905256,270,,,6.8,,,,,,,6.53686538,-32.43408276,0.3,38.97094814,0.9,0.9,0,0,,,300,2.7,-44.23217872,-44.23217872,15.73486363,59.96704236,77.30102712,389.5263759,-264.5263731,-1.472542686,0.3,0.35,-264.5263731,-61.56616349,,,
M02_JS_D4_C06,232.2387747,23.98333333,3.840332117,-0.000270366,0,3.840332117,1.038969887,30,37.45,0.654185022,74.25,113.5,0.491112246,0.192665774,13.81481481,0.85089141,-0.012695582,31.34155343,-43.97583106,0.95,75.3173845,2.45,2.45,0,0,19,0.323479715,440,3.5,-45.80688579,-45.80688579,27.83203187,73.63891766,75.98877123,268.5546935,-80.56640805,-3.333333333,0.95,0.95,-80.56640805,-48.15673936,,,
M02_JS_D5_C03,318.298347,18.61666667,7.369995282,-0.002193281,0,7.369995282,1.078779971,10,,,708.2,,,,,,,37.13989341,-45.98999126,0.55,83.12988467,1.95,1.95,3,0.05,26,0.087264249,200,4.9,-46.72241315,-46.72241315,39.85595792,86.57837108,102.3559593,366.8212973,-179.4433634,-2.044217687,0.55,0.6,-179.4433634,-62.5000014,,,
