cellID,Species,Sex,Cortical area,Subject ID,Dendrite type,Cortical layer,AP halfwidth,AP amplitude,Resting potential,Rheobase,Resistance,Time Constant,Maximum firing rate,Median instantanous frequency,internalID
3128918,macaca mulatta,NA,PFC,1288,A,3,0.8,48.71,-59.07,110,269.31,21.6,13,124.22,M01_CN_A1_C02
6193639,macaca mulatta,NA,PFC,1288,NA,NA,0.8,56.83,-55,30,284.9,24.8,109,92.59,M01_CN_A4_C10
2897488,macaca mulatta,NA,PFC,1288,NA,NA,0.7,59.59,-53.6,10,250.6,22.37,90,83.33,M01_CN_A4_C12
6219221,macaca mulatta,NA,PFC,1288,NA,NA,0.7,72.49,-61.17,50,235.83,18.53,104,85.84,M01_CN_A5_C13
2081506,macaca mulatta,NA,PFC,1288,NA,NA,0.4,42.14,-67.27,110,357.15,18.87,181,163.93,M01_CN_A5_C14
4048863,macaca mulatta,NA,PFC,1288,NA,NA,0.4,47.92,-63.26,170,316.97,16.5,3,136.99,M01_CN_A5_C15
4007447,macaca mulatta,NA,PFC,1288,NA,NA,0.6,35.49,-54.19,30,428.34,15.43,2,135.14,M01_JS_A2_C03
1860444,macaca mulatta,NA,PFC,1288,NA,NA,1,61.27,-73.52,50,380.71,14.97,44,41.24,M01_JS_A4_C11
4872470,macaca mulatta,NA,PFC,1288,A,3,1.3,68.85,-62.67,30,440.03,33.37,12,59.35,M01_JS_B1_C14
9266875,macaca mulatta,NA,PFC,1288,A,3,1.3,58,-65.11,90,438.52,29.97,13,67.57,M01_JS_B1_C15
3603737,macaca mulatta,NA,PFC,1288,A,NA,0.7,57.15,-70.54,70,849,28.8,114,108.7,M01_JS_B2_C17
6160507,macaca mulatta,NA,PFC,1288,NA,NA,1,54.88,-60.22,90,302.76,17.6,2,80.65,M01_JS_B3_C21
2691804,macaca mulatta,NA,PFC,1288,A,3,1.1,86.13,-73.29,70,528,42.4,5,41.67,M01_MW_D2_C05
4594545,macaca mulatta,NA,PFC,1288,NA,NA,1.6,73.99,-53.55,90,317.61,16.7,1,NaN,M01_MW_D3_C07
9914214,macaca mulatta,NA,PFC,1288,NA,NA,0.6,53.5,-54.24,110,190,9.8,134,125,M01_MW_D4_C10
3315344,macaca mulatta,NA,PFC,1288,A,3,0.5,61.76,-63,250,405,18.3,179,166.67,M01_MW_D5_C14
4717635,macaca mulatta,NA,PFC,1288,NA,NA,0.4,47.92,-63.26,170,316.97,16.5,3,136.99,M01_SM_A1_C02
4461307,macaca mulatta,NA,PFC,1288,NA,NA,0.4,42.14,-67.27,110,357.15,18.87,181,163.93,M01_SM_A1_C03
2507885,macaca mulatta,NA,PFC,1288,NA,NA,0.8,54.66,-64.08,90,328.63,21.9,2,188.68,M01_SM_A2_C04
2164708,macaca mulatta,NA,PFC,1288,NA,NA,0.4,46.84,-59.54,150,392.21,24.5,195,185.19,M01_SM_A2_C05
4757649,macaca mulatta,NA,PFC,1288,NA,NA,0.8,66.91,-54.16,50,598.05,22.7,1,147.06,M01_SM_A3_C08
1893218,macaca mulatta,NA,PFC,1288,NA,NA,0.4,37.7,-63.81,270,245.59,13.73,1,NaN,M01_SM_A3_C09
6353116,macaca mulatta,NA,PFC,1288,NA,NA,0.9,77.48,-75.37,130,293.99,9.3,5,86.21,M01_SM_A5_C12
6047132,macaca mulatta,NA,PFC,1288,NA,NA,0.7,68.12,-67.93,30,467.53,13.5,4,113.64,M01_SM_A7_C17
8440701,macaca mulatta,NA,PFC,1288,NA,NA,1,61.93,-61.98,90,577,10.5,2,165.29,M01_SM_A7_C19
1471317,macaca mulatta,NA,PFC,6057,A,NA,0.9,77.33,-74.55,30,236.87,21.18,33,28.82,M02_JS_D1_C11
3166185,macaca mulatta,NA,PFC,6057,NA,NA,0.45,45.78,-52,70,167.44,14.3,175,144.93,M02_JS_D2_C09
4221355,macaca mulatta,NA,PFC,6057,NA,NA,0.8,74.71,-57.99,70,427.15,27.18,40,32.6,M02_JS_D2_C10
7046620,macaca mulatta,NA,PFC,6057,S,NA,0.8,67.11,-79.68,110,370.95,9.17,17,49.14,M02_JS_D3_C07
4415715,macaca mulatta,NA,PFC,6057,NA,NA,0.45,57.22,-63.89,70,354.69,14.32,217,208.33,M02_JS_D3_C08
6013473,macaca mulatta,NA,PFC,6057,NA,NA,1.05,74.62,-72.59,30,199.81,16.47,34,27.51,M02_JS_D4_C06
7033088,macaca mulatta,NA,PFC,6057,A,NA,0.6,83.13,-62.43,10,348.8,12.92,107,88.89,M02_JS_D5_C03
3663241,macaca mulatta,NA,PFC,6057,NA,NA,0.4,63.39,-62.69,90,382.95,19.03,156,130.72,M02_JS_D6_C02
9229701,macaca mulatta,NA,PFC,6057,S,NA,1,81.39,-66.25,30,271.43,16.75,51,40.32,M02_MW_D3_C06
4238448,macaca mulatta,NA,PFC,6057,A,NA,1.5,89.87,-64.79,210,189.16,14.27,1,NaN,M02_MW_D4_C08
4101021,macaca mulatta,NA,PFC,6057,A,NA,0.45,45.9,-63.54,50,298.16,13.18,157,134.23,M02_MW_D4_C09
5565833,macaca mulatta,NA,PFC,6057,A,NA,0.5,42.14,-66.28,50,329.31,12.12,215,175.44,M02_MW_D5_C11
5984515,macaca mulatta,NA,PFC,6057,S,NA,1,81.27,-64.63,30,194.84,16.9,40,34.84,M02_MW_D6_C12
5916043,macaca mulatta,NA,PFC,6057,NA,NA,1.4,55.05,-66.46,30,391.73,43.95,19,24.07,M02_MW_D6_C13
