cellID,Species,Sex,Cortical area,Subject ID,Dendrite type,Cortical layer,AP halfwidth,AP amplitude,Resting potential,Rheobase,Resistance,Time Constant,Maximum firing rate,Median instantanous frequency,internalID
7007468,Macaca mulatta,NA,LIP,7812,S,3,0.8,46.3,-73.64,240,156.2,4.43,1,5.27,M12_SA_A1_C04
7600953,Macaca fascicularis,NA,PFC,3167,A,NA,0.65,63.42,-67.85,30,222.13,6.57,50,56.58,M10_JS_A1_C15
7871810,Macaca fascicularis,NA,PFC,1680,NA,NA,0.85,95.49,-87.83,330,87.94,6.7,1,NaN,M04_MW_A1_C10
6544964,Macaca mulatta,NA,LIP,7812,S,3,1.3,76.49,-72.51,200,87.45,6.75,1,NaN,M12_SA_A1_C08
9349566,Macaca fascicularis,NA,PFC,1680,NA,NA,0.9,82.64,-81.03,270,93.23,6.93,20,16.6,M04_MW_A1_C02
6119309,Macaca mulatta,NA,LIP,7812,S,3,1.15,79.57,-68.81,200,110.51,7.57,1,NaN,M12_SA_A1_C02
3227452,Macaca fascicularis,NA,IC,2029,S,3,0.85,69.4,-76.41,130,160.55,7.72,11,9.73,M08_MW_A1_C07
6491815,Macaca mulatta,NA,V1,8277,,,0.5,70.1,-76.55,110,218.63,8.32,108,136.52,M20_SA_A1_C05
4459885,Macaca fascicularis,NA,V1,7400,,,0.8,71.14,-79.88,130,274.91,8.63,1,NaN,M19_JS_A1_C06
7017234,Macaca fascicularis,NA,PFC,2029,S,4,0.7,77.58,-77.46,250,117.74,8.85,5,43.01,M08_JS_A1_C08
6544964,Callithrix jacchus,M,PFC,3871,,,0.4,59.66,-67.66,90,230.45,9.07,50,103.73,A12_SA_A4_C08
6367273,Callithrix jacchus,M,PFC,5627,,,0.72,72.97,-64.43,5,339.09,9.13,34,26.92,A09_SA_A1_C04
7046620,Macaca mulatta,NA,PFC,6057,S,NA,0.8,67.11,-79.68,110,370.95,9.17,17,49.14,M02_JS_D3_C07
6353116,Macaca mulatta,NA,PFC,1288,NA,NA,0.9,77.48,-75.37,130,293.99,9.3,5,86.21,M01_SM_A5_C12
6683254,Macaca fascicularis,NA,PFC,3167,A,3,1.05,71.99,-75.39,60,204.33,9.53,9,60.24,M10_JS_A1_C05
9813524,Macaca fascicularis,NA,PFC,2029,NA,5_6,1.1,66.13,-64.48,10,223.69,9.55,6,70.3,M08_JS_A1_C12
3351044,Macaca mulatta,NA,LIP,7812,A,5_6,0.55,55.77,-66.92,130,254.87,9.9,177,169.49,M12_JS_A1_C01
8849534,Macaca mulatta,NA,LIP,7812,NA,NA,0.8,64.45,-73.15,290,112.52,9.92,1,NaN,M12_SA_A1_C14
2933439,Macaca fascicularis,NA,PFC,3167,A,5_6,0.35,55.8,-73.28,165,153.39,9.93,210,178.57,M10_SA_A1_C02
2347702,Macaca mulatta,NA,LIP,7812,NA,NA,0.55,73.9,-77.19,380,178.97,10,2,194.17,M12_SA_A1_C13
1098558,Macaca fascicularis,NA,PFC,8251,NA,NA,1.3,54.26,-49.8,100,178.7,10.13,1,NaN,M06_SM_A1_C14
9902142,Macaca fascicularis,NA,PFC,3167,NA,NA,0.95,64.18,-71.28,20,301.8,10.22,44,43.38,M10_JS_A1_C02
1029038,Macaca mulatta,NA,V1,8277,,,0.45,37.38,-52.36,150,235.1,10.22,4,151.52,M20_SA_A1_C04
4029742,Macaca fascicularis,NA,PFC,1680,S,3,1.15,76.84,-72.34,170,141.93,10.35,1,NaN,M04_MW_A1_C07
6945823,Macaca mulatta,NA,PFC,6057,NA,NA,0.4,52.98,-66.49,110,245.73,10.37,152,130.72,M02_SM_A4_C07
2288905,Callithrix jacchus,M,PFC,7244,,,0.48,63.26,-65.43,85,243.33,10.69,164,135.87,M17_MM_A1_C13
9971064,Macaca fascicularis,NA,PFC,3167,A,4,0.35,43.91,-66.54,90,235.8,10.7,97,82.64,M10_JS_A1_C13
7399711,Macaca mulatta,NA,LIP,7812,S,3,0.85,79.45,-82.18,450,109.07,10.75,1,NaN,M12_JS_A1_C08
8975436,Macaca fascicularis,NA,V1,7400,,,0.8,73.85,-79.38,130,297.42,10.77,1,NaN,M19_JS_A1_C03
9239003,Macaca mulatta,NA,LIP,7812,NA,NA,0.8,75.71,-63.93,40,431,10.8,7,125,M12_SA_A1_C01
3719986,Macaca fascicularis,NA,PFC,1680,NA,NA,0.9,58.18,-52.66,50,230.24,10.83,58,71.17,M04_SM_A1_C08
7861316,Callithrix jacchus,M,PFC,7244,,,0.32,69.82,-58.13,85,213.88,11.04,214,167.79,M17_MM_A1_C07
4255641,Macaca fascicularis,NA,PFC,2719,NA,NA,0.35,52.36,-64.73,150,270.32,11.22,115,112.99,M03_JS_A1_C10
8272043,Callithrix jacchus,F,V1,2795,,,0.42,64.09,-70.97,110,198.37,11.3,29,112.87,A11_MM_A1_C02
3791505,Macaca fascicularis,NA,PFC,2719,NA,NA,0.7,96.78,-72.92,150,150.64,11.32,1,NaN,M03_SM_A1_C09
5239920,Macaca fascicularis,NA,PFC,1680,NA,NA,0.85,71.69,-76.14,90,269.69,11.35,2,55.71,M04_SM_A1_C07
5636114,Macaca fascicularis,NA,PFC,2029,NA,NA,0.55,78.52,-64.76,10,337.18,11.52,38,57.97,M08_JS_A1_C02
7403426,Callithrix jacchus,M,PFC,5627,,,0.68,77.09,-72.97,230,81.48,11.56,25,21.01,A09_MM_A1_C01
5143869,Callithrix jacchus,M,PFC,5627,,,0.4,47.7,-57.43,110,182.66,11.64,1,NaN,A09_SA_A1_C02
7889217,Macaca mulatta,NA,LIP,7812,S,3,0.65,76.46,-79.18,450,94.8,11.65,7,36.97,M12_SA_A1_C11
9809147,Macaca fascicularis,NA,PFC,1680,A,3,0.4,74.34,-59,150,210,11.68,1,NaN,M04_MW_A1_C06
7007468,Callithrix jacchus,M,PFC,3871,,,0.74,81.7,-63.17,5,317.79,11.72,42,22.6,A12_SA_A2_C04
4122456,Macaca fascicularis,NA,V1,7400,,,0.85,68.27,-75.14,200,165.56,11.85,5,110.5,M19_JS_A1_C08
2581526,Callithrix jacchus,M,PFC,3871,,,0.4,70.71,-62.32,10,228.26,11.89,131,122.25,A12_JS_A3_C03
1700831,Macaca mulatta,NA,V1,8277,,,0.55,43.95,-55.98,90,247.43,11.9,118,113.64,M20_JS_A1_C02
9632904,Macaca fascicularis,NA,V1,7400,,,0.95,77.03,-73.51,110,358.94,11.97,1,NaN,M19_SA_A1_C08
7342105,Callithrix jacchus,M,PFC,3871,,,0.68,57.37,-57.18,10,316.19,11.99,34,20.11,A12_SA_A3_C06
5343306,Macaca mulatta,NA,LIP,7812,S,5_6,0.8,70.09,-73.77,260,258,12,2,112.99,M12_JS_A1_C10
6365774,Macaca mulatta,NA,PFC,6057,NA,NA,0.3,49.01,-72.06,150,287.71,12.02,4,166.67,M02_SM_A5_C10
7159732,Macaca fascicularis,NA,PFC,2719,S,3,0.55,82.5,-75.23,170,145.24,12.05,1,NaN,M03_SM_A1_C07
5565833,Macaca mulatta,NA,PFC,6057,A,NA,0.5,42.14,-66.28,50,329.31,12.12,215,175.44,M02_MW_D5_C11
1997305,Callithrix jacchus,M,PFC,5627,,,0.74,96.98,-60.95,190,97.41,12.15,8,9.76,A09_MM_A1_C08
3345938,Macaca fascicularis,NA,V1,7400,,,0.75,67.96,-81.22,50,386.98,12.2,5,86.39,M19_JS_A1_C09
6661088,Macaca fascicularis,NA,V1,7400,,,1.2,72.05,-76.93,260,182.51,12.25,1,NaN,M19_MM_A1_C09
5361613,Macaca fascicularis,NA,PFC,3167,NA,NA,0.9,68.08,-74.81,120,259.53,12.28,26,65.79,M10_SA_A1_C03
3767213,Macaca fascicularis,NA,PFC,2029,S,5_6,0.6,82.95,-69.49,150,110.88,12.47,1,NaN,M08_MW_A1_C05
2778861,Macaca fascicularis,NA,PFC,6893,S,4,0.8,72.45,-73.35,90,241.98,12.8,22,21.74,M05_SM_A1_C02
8431110,Macaca mulatta,NA,PFC,6057,NA,NA,0.75,80.57,-74.11,190,218.57,12.85,4,25.28,M02_SM_A6_C14
4870626,Macaca fascicularis,NA,PFC,8251,NA,NA,0.6,74.22,-58.44,40,258.36,12.87,8,130.72,M06_SM_A1_C12
7017110,Macaca fascicularis,NA,PFC,1680,NA,NA,1,82.44,-74.98,150,114.47,12.88,1,NaN,M04_SM_A1_C13
7033088,Macaca mulatta,NA,PFC,6057,A,NA,0.6,83.13,-62.43,10,348.8,12.92,107,88.89,M02_JS_D5_C03
3665191,Macaca fascicularis,NA,PFC,1680,S,5_6,0.85,67.29,-68.12,90,161.14,13.05,11,75.19,M04_JS_A1_C06
5602093,Macaca fascicularis,NA,V1,7400,,,0.95,70.56,-52.15,90,141.5,13.07,1,NaN,M19_MM_A1_C02
4101021,Macaca mulatta,NA,PFC,6057,A,NA,0.45,45.9,-63.54,50,298.16,13.18,157,134.23,M02_MW_D4_C09
3028495,Macaca fascicularis,NA,V1,7400,,,0.85,70.5,-76,70,257.8,13.23,11,30.4,M19_MM_A1_C05
8543911,Callithrix jacchus,M,PFC,3871,,,0.6,56.85,-62.78,110,193.51,13.29,3,139.08,A12_JS_A4_C04
8247849,Macaca fascicularis,NA,PFC,3167,S,NA,0.85,69.52,-75.4,90,188.09,13.33,8,15.96,M10_JS_A1_C14
6846705,Macaca mulatta,NA,V1,8277,,,0.3,43.27,-58.87,170,167.58,13.35,3,176.99,M20_MM_A1_C01
7413319,Macaca fascicularis,NA,V1,7400,,,0.9,75.96,-72.08,90,404.72,13.42,5,76.92,M19_JS_A1_C07
8286290,Macaca fascicularis,NA,PFC,3167,NA,NA,0.4,59.33,-63,90,197.24,13.43,158,122.7,M10_JS_A1_C09
8626570,Callithrix jacchus,F,V1,2795,,,1.06,90.27,-78.81,170,93.66,13.45,2,59.52,A11_MM_A1_C05
3621020,Macaca fascicularis,NA,PFC,2719,NA,NA,0.55,75.46,-61.17,30,488.68,13.48,117,94.34,M03_JS_A1_C06
8379183,Macaca fascicularis,NA,PFC,2029,NA,3,0.6,78.34,-60.79,70,396.93,13.48,86,71.17,M08_JS_A1_C03
6047132,Macaca mulatta,NA,PFC,1288,NA,NA,0.7,68.12,-68.15,30,467.53,13.5,6,113.64,M01_SM_A7_C17
9788035,Macaca fascicularis,NA,PFC,2029,NA,NA,0.35,46.51,-67.28,250,224.31,13.52,61,156.86,M08_JS_A1_C10
1623804,Macaca fascicularis,NA,PFC,3167,A,5_6,0.4,44.92,-73.99,55,327.93,13.57,181,151.52,M10_SA_A1_C08
1893218,Macaca mulatta,NA,PFC,1288,NA,NA,0.4,37.7,-63.81,270,245.59,13.73,1,NaN,M01_SM_A3_C09
9433398,Macaca fascicularis,NA,V1,7400,,,0.3,42.76,-78.19,190,165.41,13.77,87,75.47,M19_MM_A1_C07
2614677,Macaca mulatta,NA,PFC,6057,A,NA,0.35,69.98,-65.08,110,308.49,13.83,196,178.57,M02_SM_A6_C16
2064307,Macaca mulatta,NA,LIP,7812,S,3,0.95,76.52,-76.45,210,140.98,13.83,1,NaN,M12_JS_A1_C05
7642166,Callithrix jacchus,M,PFC,5627,,,0.62,72.11,-53.83,10,309.31,13.85,31,35.37,A09_MM_A1_C10
9093066,Macaca fascicularis,NA,PFC,2719,S,3,0.7,80.98,-75.3,130,145.68,13.85,1,NaN,M03_SM_A1_C05
