ID,firing rate,peak to trough,peak to trough ratio
B20171109_NSP0_001ch12ub,0.34875,0.366666667,1.912062108
B20171109_NSP0_001ch16uc,0.183333333,0.333333333,2.04533358
B20171109_NSP0_001ch17uc,5.373611111,0.5,1.886199861
B20171109_NSP0_001ch24uc,0.876111111,0.366666667,1.64748696
B20171109_NSP0_001ch30ua,5.712222222,0.466666667,1.87260739
B20171109_NSP0_001ch54ub,0.130416667,0.566666667,1.828148628
B20171109_NSP0_001ch56ud,0.04625,0.566666667,1.738660564
B20171109_NSP0_001ch61ua,1.426527778,0.166666667,1.404809525
B20171109_NSP0_001ch61ub,0.550138889,0.533333333,1.557954966
B20171109_NSP0_001ch96ua,7.110833333,0.366666667,1.478892313
B20171121_NSP1_001ch03ua,0.537638889,0.433333333,1.992985646
B20171121_NSP1_001ch06ua,1.842916667,0.5,2.115928684
B20171121_NSP1_001ch08ua,1.591111111,0.466666667,1.85053034
B20171121_NSP1_001ch11ua,1.117777778,0.533333333,1.163008843
B20171121_NSP1_001ch14ua,9.243888889,0.133333333,1.304947613
B20171121_NSP1_001ch15ua,0.78125,0.4,2.344564116
B20171121_NSP1_001ch16ua,1.045,0.466666667,1.367055018
B20171121_NSP1_001ch17ua,9.383055556,0.2,1.070912858
B20171121_NSP1_001ch20ua,2.592083333,0.433333333,1.477186182
B20171121_NSP1_001ch23ua,0.58625,0.4,1.390482426
B20171121_NSP1_001ch24ua,0.485833333,0.366666667,2.276793196
B20171121_NSP1_001ch28ua,0.822222222,0.533333333,1.761695705
B20171121_NSP1_001ch35ua,3.107638889,0.433333333,1.756662347
B20171121_NSP1_001ch36ua,1.581805556,0.6,2.058690428
B20171121_NSP1_001ch36ub,0.10125,0.433333333,2.319853706
B20171121_NSP1_001ch37ua,0.620972222,0.533333333,2.097075703
B20171121_NSP1_001ch39ua,0.304722222,0.433333333,1.82486314
B20171121_NSP1_001ch44ua,0.634722222,0.3,1.918429113
B20171121_NSP1_001ch47ua,1.685277778,0.4,1.598522675
T0170329NSP0_001ch05ua,4.975972222,0.4,1.918474895
T20170329NSP0_001ch04ub,2.949166667,0.5,1.407950122
T20170329NSP0_001ch07ua,4.797777778,0.466666667,1.709676447
T20170329NSP0_001ch13ua,5.297222222,0.4,1.684718752
T20170329NSP0_001ch14ua,19.49472222,0.4,1.707527431
T20170329NSP0_001ch22ua,3.608472222,0.433333333,1.718121197
T20170329NSP0_001ch23ua,3.212083333,0.2,1.145131643
T20170329NSP0_001ch26ua,3.427916667,0.266666667,1.219687528
T20170329NSP0_001ch31ua,2.81875,0.2,1.204716636
T20170329NSP0_001ch34ua,0.370694444,0.466666667,1.3548832
T20170329NSP0_001ch35ua,0.674722222,0.466666667,1.207098156
T20170329NSP0_001ch79ua,4.612916667,0.433333333,1.296414987
T20170329NSP0_001ch84ua,1.699722222,0.466666667,1.62661305
T20170329NSP1_001ch07ub,1.687916667,0.333333333,1.414506828
T20170329NSP1_001ch07uc,2.033194444,0.4,1.658483521
T20170329NSP1_001ch10ua,9.413611111,0.3,1.575232749
T20170329NSP1_001ch10ub,16.72625,0.366666667,1.248789487
T20170329NSP1_001ch11ub,4.599861111,0.3,1.769998455
T20170329NSP1_001ch14ua,0.7975,0.233333333,1.283144012
T20170329NSP1_001ch16ub,0.984166667,0.266666667,1.095509449
T20170329NSP1_001ch23ub,0.481805556,0.466666667,1.427103588
T20170329NSP1_001ch25uc,3.340833333,0.466666667,1.051210679
T20170329NSP1_001ch28ud,0.185972222,0.433333333,1.543502363
T20170329NSP1_001ch65uc,9.89,0.133333333,1.869422563
T20170329NSP1_001ch69ue,0.580277778,0.433333333,1.574614581
T20170329NSP1_001ch76ua,2.68625,0.366666667,2.214190142
T20170329NSP1_001ch95uf,2.746666667,0.333333333,1.329832245
B29_NSP0_chan13_unitC,0.481944444,0.4,2.109037011
B29_NSP0_chan33_unitC,0.416111111,0.533333333,1.722270618
B29_NSP0_chan39_unitC,0.181805556,0.533333333,1.286169831
B29_NSP0_chan3_unitC,1.095,0.466666667,2.214066054
B29_NSP0_chan43_unitC,0.822222222,0.666666667,1.208705282
B29_NSP0_chan58_unitC,0.731666667,0.4,2.105604938
B29_NSP0_chan5_unitC,0.751666667,0.366666667,2.260341544
B29_NSP0_chan64_unitC,0.555,0.533333333,1.716552459
B29_NSP0_chan70_unitC,1.87375,0.166666667,1.924776835
B29_NSP0_chan71_unitC,0.404166667,0.4,1.411135591
B29_NSP0_chan74_unitC,0.979305556,0.5,1.971671394
B29_NSP0_chan93_unitC,0.74625,0.366666667,1.080996194
