ID,Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37,Var1_38,Var1_39
B20171109_NSP0_001ch12ub,-0.255758539,-0.25982923,-0.28683479,-0.235305798,-1.062251787,-3.504269261,-9.136715647,-18.56195393,-32.09471803,-49.0795274,-59.42067117,-48.13443209,-26.66719619,-8.776608419,2.653296267,10.80073471,17.40458697,22.63592137,26.32168388,28.87728356,30.43198967,31.07674742,31.01846704,30.72021446,30.22915012,29.58965449,28.69866958,27.54030977,25.90379269,24.1122915,22.19618745,19.95363384,17.69420175,15.47160445,12.96217236,10.16928118,7.344023034,4.657962669,2.120035743
B20171109_NSP0_001ch16uc,-0.839583333,-0.728977273,-0.601704545,-0.773484848,-0.999431818,-1.36344697,-3.749810606,-10.14375,-21.36287879,-41.10359848,-54.43996212,-41.20965909,-18.97651515,-3.288825758,5.914204545,12.54640152,18.01155303,22.12708333,24.88503788,26.36458333,26.61666667,26.19450758,24.94640152,23.40700758,22.01477273,20.85643939,20.21837121,19.64753788,18.98920455,18.48655303,17.74583333,16.52765152,14.91534091,13.01780303,11.03125,8.604356061,5.964772727,3.027651515,0.121401515
B20171109_NSP0_001ch17uc,-0.489613421,-0.572880132,-0.597592583,-0.572602899,0.099139932,2.05099804,1.041823551,-7.727930937,-29.81737415,-60.79963122,-75.93771276,-63.66525686,-42.19256757,-23.34621286,-8.185191871,4.487305292,14.65609527,22.17526305,27.59378224,31.59543274,34.48740845,36.47637714,37.90509594,39.03312616,39.91913813,40.25963225,39.68388952,38.07547839,35.58200949,32.49346245,28.98570636,25.24073525,21.46241232,17.69876341,14.06325433,10.68374123,7.531688416,4.500612492,1.672097431
B20171109_NSP0_001ch24uc,-0.326570163,-0.450798924,-0.447674419,-0.396693561,-0.745688973,-4.359713653,-13.27460054,-23.8509334,-34.85979275,-49.68679798,-59.61473659,-48.86461794,-28.84211359,-10.91733903,2.670938143,13.24869483,21.48497073,27.42216421,31.3733982,34.00003955,35.56976744,36.1852555,36.04896377,35.76336814,35.505458,35.28697991,35.02440278,34.10726151,32.61473659,30.36481569,27.37616675,23.92663344,20.2277725,16.23239994,12.36932447,8.763051732,5.137201392,1.711082107,-1.450403417
B20171109_NSP0_001ch30ua,-0.283551018,-0.318079192,-0.354409944,-0.445485664,-0.567235561,-0.986768954,-2.437110048,-6.014250686,-13.79831152,-26.75061907,-35.35163021,-27.24284431,-16.38634046,-8.874687432,-3.151926392,2.006512345,6.486544391,10.13384599,12.9873334,15.12823796,16.71256464,17.74561797,18.35474982,18.7182637,18.87829259,18.81240441,18.59063873,18.15446942,17.52386444,16.69983127,15.70284771,14.58016921,13.25168119,11.71856716,10.03783594,8.177544852,6.301783157,4.442159695,2.548918453
B20171109_NSP0_001ch54ub,-0.620074547,-0.412406816,-0.399627263,-0.546325879,-0.69142705,-0.639776358,-5.374334398,-24.1086262,-59.21485623,-103.2140575,-126.171459,-104.2276358,-64.06682641,-32.90202343,-10.80138445,7.740947817,23.65282215,36.32428115,45.50532481,52.01943557,56.657082,60.53301384,63.61022364,65.36315229,66.44888179,67.67518637,68.74041534,69.01597444,68.38791267,66.61048988,63.04206603,58.16986155,52.34771033,45.60969116,38.67944622,32.04153355,25.65974441,19.23908413,12.87513312
B20171109_NSP0_001ch56ud,-0.551051051,-0.488738739,-0.272522523,-0.701201201,-0.975225225,-0.912912913,-2.545795796,-12.16441441,-40.17042042,-80.29954955,-98.67942943,-84.61411411,-59.30255255,-36.49774775,-16.66216216,0.350600601,14.28603604,25.49174174,34.24399399,40.58633634,45.02477477,48.4984985,51.77777778,53.93393393,55.18318318,56.28978979,56.71321321,56.75600601,56.57207207,55.95570571,54.66441441,51.93468468,48.25975976,43.60135135,37.99399399,31.98123123,25.99774775,19.93243243,14.13063063
B20171109_NSP0_001ch61ua,-0.235840794,-0.597119502,-0.844710977,-1.024985403,-0.544740171,1.38908622,3.509463799,2.744428766,-8.743747567,-28.94037077,-39.13186065,-28.99197158,-8.090258856,11.74890522,23.97966135,27.85563449,26.32096633,22.54240463,18.32150156,14.38949981,10.92623589,7.746837291,4.773914947,2.028026469,-0.351766251,-2.428157844,-4.221924873,-5.628989879,-6.711633904,-7.505765862,-8.095538147,-8.592472752,-8.869136824,-8.922027053,-8.920105099,-8.832327754,-8.653877968,-8.413025496,-8.175749319
B20171109_NSP0_001ch61ub,-0.74124244,-0.966859879,-0.941343246,-0.468813004,0.221648185,0.416897681,-0.994644657,-6.260143649,-18.63136341,-34.73002772,-42.45898438,-35.9703251,-25.49231351,-16.96660786,-9.340536794,-2.217174899,3.827746976,8.814012097,13.02072833,16.63936492,19.78969254,22.33474042,23.99766885,25.18611391,26.13879788,26.96352067,27.25302419,26.64094002,25.46005544,23.7297127,21.60704385,19.38621472,16.97719254,14.4358619,12.03358115,9.525390625,6.986139113,4.663306452,2.48469002
B20171109_NSP0_001ch96ua,-0.22815122,-0.244917073,-0.229536585,-0.264102439,-0.357917073,-0.430717073,-1.097307317,-4.515658537,-15.24207805,-32.50042927,-41.42380976,-34.08396585,-21.95674146,-11.8388439,-3.126321951,4.510395122,10.77317073,15.94598537,20.42490732,24.18780488,26.78546341,28.01002439,27.98958049,27.0100878,25.26980976,22.97921951,20.51421951,18.02371707,15.55431707,13.12699512,10.79692683,8.6012,6.525668293,4.564960976,2.759321951,1.096902439,-0.423614634,-1.783204878,-3.015239024
B20171121_NSP1_001ch03ua,-0.128778094,-0.170627745,-0.098876259,-0.06955567,-0.217062774,-0.333505554,-0.750710411,-5.950012917,-23.35042625,-50.77764144,-65.27053733,-52.33512012,-29.76401447,-12.87722811,-1.955954534,6.181542237,13.270279,19.45362955,24.27047275,27.77835185,30.24496254,31.80734952,32.5863472,32.75012917,32.59364505,32.15080083,31.30340997,30.12018858,28.55005167,26.62548437,24.40435288,21.96518987,19.28616637,16.45776285,13.4782356,10.28519762,7.16358822,4.169336089,1.398411263
