IDs,X1,X2,labels
566000000,-32.3654,28.63115,mouse
470000000,-31.6018,30.23782,mouse
606000000,-31.8094,26.21035,mouse
486000000,-39.5919,28.92852,mouse
324000000,-38.7436,29.87464,mouse
505000000,-37.3263,30.21979,mouse
558000000,-40.4008,29.34906,mouse
476000000,-37.7052,27.61859,mouse
503000000,-39.8396,27.3418,mouse
581000000,-32.3288,30.0407,mouse
481000000,-31.3934,29.51962,mouse
480000000,-39.9151,28.53779,mouse
522000000,-31.2857,26.5331,mouse
592000000,-35.1861,26.68354,mouse
567000000,-38.6617,28.66362,mouse
480000000,-39.6368,27.1872,mouse
514000000,-38.7452,27.76145,mouse
584000000,-36.0583,29.50603,mouse
585000000,-35.5153,26.02962,mouse
572000000,-34.9972,28.66813,mouse
470000000,-39.1017,28.06148,mouse
474000000,-37.8252,28.26438,mouse
581000000,-31.3313,26.4278,mouse
479000000,-37.8991,27.39124,mouse
476000000,-32.3613,30.77141,mouse
502000000,-36.8514,27.00707,mouse
525000000,-37.2586,30.17476,mouse
593000000,-34.4252,26.50061,mouse
490000000,-39.6096,29.5363,mouse
524000000,-37.4022,26.61429,mouse
315000000,-39.073,27.6737,mouse
555000000,-31.683,28.0417,mouse
562000000,-31.3449,26.40532,mouse
489000000,-38.6233,28.12482,mouse
581000000,-32.715,29.48141,mouse
589000000,-37.3621,30.28714,mouse
489000000,-37.4305,30.2815,mouse
599000000,-39.1089,29.10112,mouse
580000000,-37.274,28.70426,mouse
480000000,-37.4677,30.32057,mouse
502000000,-39.9729,28.05145,mouse
474000000,-34.9234,28.07493,mouse
531000000,-34.7282,28.72769,mouse
488000000,-35.6148,26.38381,mouse
502000000,-39.3737,29.14254,mouse
498000000,-37.3601,26.65398,mouse
524000000,-31.2233,26.71448,mouse
585000000,-35.6505,25.85349,mouse
555000000,-31.4497,26.63165,mouse
488000000,-31.3003,29.50751,mouse
562000000,-31.8773,26.36031,mouse
487000000,-32.8064,30.55947,mouse
483000000,-31.3847,27.03173,mouse
487000000,-31.5737,28.68119,mouse
491000000,-33.6951,28.16197,mouse
518000000,-39.2784,27.83117,mouse
583000000,-36.3993,27.61882,mouse
485000000,-40.2048,28.43459,mouse
507000000,-39.6154,27.30137,mouse
593000000,-34.9498,28.68894,mouse
473000000,-31.4403,29.17831,mouse
515000000,-39.6305,29.36006,mouse
561000000,-37.816,30.07935,mouse
574000000,-34.7205,28.85787,mouse
323000000,-38.1848,26.87837,mouse
476000000,-39.8818,28.56299,mouse
477000000,-39.28,28.33659,mouse
589000000,-39.3868,27.9897,mouse
487000000,-31.4507,29.61937,mouse
479000000,-35.4135,28.18152,mouse
439000000,-31.1591,26.9543,mouse
569000000,-32.4054,29.56645,mouse
561000000,-31.3446,26.552,mouse
563000000,-37.0706,28.43601,mouse
490000000,-38.4164,26.71311,mouse
509000000,-37.1426,27.53654,mouse
605000000,-39.7619,27.46264,mouse
583000000,-35.3395,26.45069,mouse
567000000,-34.7345,26.91259,mouse
587000000,-35.2444,26.88294,mouse
589000000,-36.9754,28.9407,mouse
573000000,-38.6373,29.66521,mouse
580000000,-32.2489,29.38258,mouse
573000000,-37.8169,30.59568,mouse
570000000,-34.3958,26.41397,mouse
558000000,-40.2902,28.56079,mouse
574000000,-32.0451,30.52071,mouse
576000000,-33.3143,28.18362,mouse
490000000,-40.4464,28.42247,mouse
491000000,-37.3626,26.68243,mouse
486000000,-37.7712,27.59121,mouse
397000000,-31.6384,29.03422,mouse
584000000,-35.8182,29.07379,mouse
476000000,-33.2562,30.23535,mouse
475000000,-36.5282,27.8109,mouse
477000000,-31.5214,27.37082,mouse
554000000,-31.6889,25.99182,mouse
471000000,-31.6447,29.92838,mouse
586000000,-33.1531,29.00872,mouse
471000000,-38.0493,28.69321,mouse
525000000,-37.88,26.81022,mouse
475000000,-35.9796,28.1731,mouse
547000000,-34.6961,28.57447,mouse
566000000,-35.0403,27.08142,mouse
568000000,-32.185,30.71409,mouse
487000000,-38.8484,26.93547,mouse
486000000,-39.3384,29.277,mouse
585000000,-37.2346,27.12669,mouse
509000000,-38.3147,29.81761,mouse
522000000,-35.0886,28.68886,mouse
488000000,-31.3651,29.23855,mouse
486000000,-37.9076,26.03166,mouse
487000000,-31.494,29.63302,mouse
516000000,-37.9323,27.1447,mouse
517000000,-34.8593,28.80602,mouse
525000000,-35.7998,26.14703,mouse
479000000,-35.948,28.35863,mouse
578000000,-36.3748,26.60548,mouse
479000000,-39.2443,27.94106,mouse
583000000,-35.0816,27.00211,mouse
490000000,-40.1043,28.87235,mouse
502000000,-40.2867,28.42049,mouse
585000000,-37.3763,26.649,mouse
574000000,-31.6346,28.55023,mouse
481000000,-31.9988,30.77618,mouse
491000000,-32.3225,30.73202,mouse
518000000,-38.704,27.4283,mouse
586000000,-32.1263,30.06238,mouse
370000000,-38.4832,29.23755,mouse
479000000,-39.5005,28.994,mouse
322000000,-34.8614,27.55242,mouse
476000000,-39.332,28.22071,mouse
570000000,-39.3733,27.40748,mouse
597000000,-33.4812,28.88326,mouse
486000000,-38.5138,29.70694,mouse
556000000,-36.5508,28.8635,mouse
580000000,-39.1613,28.32576,mouse
485000000,-31.6376,29.75333,mouse
464000000,-40.252,29.74932,mouse
586000000,-32.1129,29.98115,mouse
586000000,-32.463,30.44047,mouse
559000000,-40.5335,29.50449,mouse
320000000,-32.244,29.55876,mouse
482000000,-34.8806,27.47417,mouse
570000000,-36.2439,28.15064,mouse
596000000,-39.7502,28.66674,mouse
479000000,-32.08,30.28383,mouse
483000000,-35.0884,26.82368,mouse
567000000,-38.198,26.96123,mouse
569000000,-39.4585,28.88367,mouse
323000000,-36.8737,28.74162,mouse
563000000,-31.645,26.35788,mouse
586000000,-35.2987,26.09701,mouse
486000000,-39.0743,29.72342,mouse
527000000,-32.0989,26.37453,mouse
501000000,-31.9735,28.78097,mouse
489000000,-32.5744,30.16404,mouse
591000000,-37.165,27.96638,mouse
514000000,-40.5638,29.61362,mouse
595000000,-35.5979,26.6933,mouse
478000000,-38.3597,27.31158,mouse
485000000,-39.441,27.39747,mouse
561000000,-33.138,29.36437,mouse
515000000,-40.4287,29.26639,mouse
502000000,-37.6224,26.61837,mouse
315000000,-37.1063,27.76898,mouse
479000000,-39.4698,29.62523,mouse
480000000,-39.6229,29.47729,mouse
491000000,-34.1761,27.90241,mouse
565000000,-35.4322,28.53018,mouse
593000000,-34.7878,28.83954,mouse
476000000,-31.5362,28.91946,mouse
584000000,-35.0735,26.75058,mouse
561000000,-37.0334,27.97189,mouse
604000000,-38.5958,29.8538,mouse
585000000,-39.747,29.80988,mouse
591000000,-32.2388,29.94439,mouse
504000000,-40.1642,28.29104,mouse
559000000,-37.8784,26.02821,mouse
467000000,-40.247,28.20178,mouse
519000000,-35.6075,26.11879,mouse
502000000,-40.3917,28.24311,mouse
487000000,-31.5385,29.4211,mouse
480000000,-36.961,29.93474,mouse
571000000,-36.7049,26.94715,mouse
476000000,-36.0028,27.18474,mouse
491000000,-38.7144,29.54909,mouse
505000000,-39.2991,27.64085,mouse
485000000,-39.3591,29.10209,mouse
510000000,-40.6759,29.36073,mouse
581000000,-37.0924,27.10308,mouse
585000000,-38.6511,28.73711,mouse
585000000,-38.2407,28.36841,mouse
586000000,-32.6076,29.54801,mouse
480000000,-40.2051,29.65926,mouse
564000000,-31.8231,26.52669,mouse
587000000,-35.5512,25.99402,mouse
487000000,-33.022,28.43706,mouse
487000000,-38.2041,26.90153,mouse
489000000,-36.9608,27.36217,mouse
569000000,-39.4689,26.90432,mouse
476000000,-38.9368,28.06746,mouse
476000000,-32.1274,30.04736,mouse
329000000,-33.5116,28.17798,mouse
464000000,-34.7356,26.92999,mouse
514000000,-40.709,29.69138,mouse
569000000,-37.4287,26.75275,mouse
563000000,-39.1239,26.9209,mouse
479000000,-39.8885,27.98363,mouse
514000000,-38.7691,28.32727,mouse
329000000,-32.8135,30.18952,mouse
592000000,-35.2873,26.62606,mouse
591000000,-31.6706,28.40881,mouse
528000000,-31.6082,26.66447,mouse
555000000,-33.087,30.24427,mouse
590000000,-36.7656,28.03561,mouse
486000000,-39.2518,27.97846,mouse
574000000,-38.9769,27.36025,mouse
502000000,-39.9312,29.62994,mouse
571000000,-32.4939,29.66093,mouse
610000000,-31.6617,29.31596,mouse
502000000,-38.6079,27.84396,mouse
558000000,-40.2496,29.05504,mouse
564000000,-31.7368,26.09893,mouse
561000000,-34.7922,28.79391,mouse
325000000,-40.3982,28.77799,mouse
486000000,-38.0092,28.25538,mouse
486000000,-36.2915,26.53068,mouse
510000000,-32.2509,29.43327,mouse
564000000,-32.4347,30.34823,mouse
580000000,-38.9882,28.24455,mouse
441000000,-31.1727,26.67811,mouse
502000000,-38.9642,27.31965,mouse
489000000,-40.2338,27.09724,mouse
594000000,-35.5393,26.20555,mouse
558000000,-37.2721,30.09574,mouse
583000000,-35.6085,26.20047,mouse
510000000,-31.5797,29.98438,mouse
486000000,-36.8425,26.81265,mouse
491000000,-36.756,26.76195,mouse
536000000,-31.5394,26.68742,mouse
573000000,-38.844,29.30306,mouse
490000000,-36.9504,27.60159,mouse
570000000,-35.075,25.91186,mouse
583000000,-34.3772,27.24835,mouse
563000000,-31.4137,26.18544,mouse
586000000,-35.5797,26.44651,mouse
466000000,-31.5377,29.03612,mouse
479000000,-38.6446,27.68124,mouse
587000000,-34.7568,28.80348,mouse
481000000,-32.5716,30.55014,mouse
519000000,-31.8222,30.07011,mouse
605000000,-36.8498,27.02489,mouse
565000000,-35.4043,26.24193,mouse
583000000,-35.1538,26.45898,mouse
486000000,-38.81,28.00184,mouse
324000000,-31.2787,29.91283,mouse
330000000,-38.0674,27.02684,mouse
520000000,-34.3433,27.18704,mouse
583000000,-32.0823,29.37022,mouse
584000000,-32.5773,26.48558,mouse
606000000,-31.7013,26.20957,mouse
480000000,-39.2594,29.67273,mouse
561000000,-37.011,28.27072,mouse
589000000,-37.8848,30.62985,mouse
564000000,-36.211,27.68332,mouse
330000000,-37.7006,26.83225,mouse
488000000,-31.5865,29.03824,mouse
481000000,-31.7843,26.53378,mouse
585000000,-32.3698,30.11789,mouse
323000000,-32.7816,30.09344,mouse
327000000,-33.1904,29.17728,mouse
567000000,-34.7362,28.80178,mouse
479000000,-32.0692,30.40576,mouse
510000000,-31.9674,29.09619,mouse
